code;label-nl_BE;label-en_GB;label-fr_BE;allowed_extensions;auto_option_sorting;available_locales;copy_to_blueprint;date_max;date_min;decimals_allowed;default_metric_unit;group;hidden;localizable;max_characters;max_file_size;metric_family;minimum_input_length;min_characters;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;target_entity;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
french_doors;"Franse deuren";"French doors";;;;;0;;;;;specifications;0;0;;;;;;;;;;0;6;Category;pim_catalog_boolean;0;0;;;
lifting_height;"Maximale werkhoogte";"Lifting height";;;;;0;;;0;METER;work;0;0;;;Length;;;0;;;;0;6;Category;pim_catalog_metric;0;0;;;
sideshift;Sideshift;Sideshift;;;;;0;;;;;annex;0;0;;;;;;;;;;0;14;Category;pim_catalog_boolean;0;0;;;
forkhook;Pallethaak;Forkhook;;;;;0;;;;;materials;0;0;;;;;;;;;;0;1;Category;pim_catalog_boolean;0;0;;;
screwclamp;Balkenklem;Screwclamp;;;;;0;;;;;annex;0;0;;;;;;;;;;0;19;Category;pim_catalog_boolean;0;0;;;
pitchfork;Mestriek;Pitchfork;;;;;0;;;;;annex;0;0;;;;;;;;;;0;20;Category;pim_catalog_boolean;0;0;;;
workcage;Werkkooi;Workcage;;;;;0;;;;;annex;0;0;;;;;;;;;;0;41;Category;pim_catalog_boolean;0;0;;;
winch;Hijslier;Winch;;;;;0;;;;;annex;0;0;;;;;;;;;;0;39;Category;pim_catalog_boolean;0;0;;;
shoveltank;Schepbak;Shoveltank;;;;;0;;;;;annex;0;0;;;;;;;;;;0;22;Category;pim_catalog_boolean;0;0;;;
liftinghook;Hijshaak;Liftinghook;;;;;0;;;;;annex;0;0;;;;;;;;;;0;36;Category;pim_catalog_boolean;0;0;;;
lifting_capacity;Hefvermogen;"Lifting capacity";;;;;0;;;0;WATT;specifications;0;0;;;Power;;;0;;;;0;7;Category;pim_catalog_metric;0;0;;;
rotator_turner;"Rotator / kantelaar";"Rotator / turner";;;;;0;;;;;other;0;0;;;;;;;;;;0;8;Category;pim_catalog_boolean;0;0;;;
paper_roll_clamp;Papierrolklem;"Paper roll clamp";;;;;0;;;;;annex;0;0;;;;;;;;;;0;18;Category;pim_catalog_boolean;0;0;;;
fork_positioner;Vorkenversteller;"Fork positioner";;;;;0;;;;;materials;0;0;;;;;;;;;;0;3;Category;pim_catalog_boolean;0;0;;;
lifting_arm_on_fork;"Hijsarm op vorken";"Lifting arm on fork";;;;;0;;;;;annex;0;0;;;;;;;;;;0;24;Category;pim_catalog_boolean;0;0;;;
oven_shift_forks;Overschuifvorken;"Oven shift forks";;;;;0;;;;;materials;0;0;;;;;;;;;;0;2;Category;pim_catalog_boolean;0;0;;;
self_tipper;Zelfkipper;"Self tipper";;;;;0;;;;;other;0;0;;;;;;;;;;0;9;Category;pim_catalog_boolean;0;0;;;
lifting_hook_over_forks;"Hijshaak over vorken";"Lifting hook over forks";;;;;0;;;;;other;0;0;;;;;;;;;;0;10;Category;pim_catalog_boolean;0;0;;;
radius;Radius;Radius;;;;;0;;;0;CENTIMETER;other;0;0;;;Length;;;0;;;;0;0;Category;pim_catalog_metric;0;0;;;
height_freight;"Hoogte last";"Height freight";;;;;0;;;0;METER;work;0;0;;;Length;;;0;;;;0;2;Category;pim_catalog_metric;0;0;;;
weight_freight;"Gewicht last";"Weight freight";;;;;0;;;0;KILOGRAM;work;0;0;;;Weight;;;0;;;;0;3;Category;pim_catalog_metric;0;0;;;
length_freight;"Lengte last";"Length freight";;;;;0;;;0;METER;work;0;0;;;Length;;;0;;;;0;4;Category;pim_catalog_metric;0;0;;;
shape_freight;"Vorm last";"Shape freight";;;;;0;;;;;other;0;0;;;;;;;;;;0;12;Category;pim_catalog_text;0;0;;;
width_freight;"Breedte last";"Width freight";;;;;0;;;0;CENTIMETER;work;0;0;;;Length;;;0;;;;0;5;Category;pim_catalog_metric;0;0;;;
gravitycentre_freight;"Zwaartepunt last";"Gravitycentre freight";;;;;0;;;0;CENTIMETER;other;0;0;;;Length;;;0;;;;0;13;Category;pim_catalog_metric;0;0;;;
underground_yard;"Ondergrond werf";"Underground yard";;;;;0;;;;;work;0;0;;;;;;;;;;0;0;Category;pim_catalog_boolean;0;0;;;
lifting_points;Hijspunten;"Lifting points";;;;;0;;;;;other;0;0;;;;;;;;;;0;14;Category;pim_catalog_boolean;0;0;;;
high_voltage_neighbouring_area;"Hoogspanning in de buurt?";"High voltage neighbouring area";;;;;0;;;;;work;0;0;;;;;;;;;;0;7;Category;pim_catalog_boolean;0;0;;;
underground_gas_pipe;"Gasleiding in de grond";"Underground gas pipe";;;;;0;;;;;work;0;0;;;;;;;;;;0;8;Category;pim_catalog_boolean;0;0;;;
accessibility_yard;"Toegankelijkheid werf";"Accessibility yard";;;;;0;;;;;remarks;0;0;;;;;;;;;;0;0;Category;pim_catalog_textarea;0;0;;;
location;"Locatie werf";Location;;;;;0;;;;;remarks;0;0;;;;;;;;;;0;0;Category;pim_catalog_text;0;0;;;
maps;Maps;Maps;;;;;0;;;;;other;0;0;;;;;;;;;;0;15;Category;pim_catalog_text;0;0;;;
pictures;"Foto's werkomgeving";Pictures;;;;;0;;;;;work;0;0;;;;;;;;;;0;9;Category;pim_catalog_image;0;0;;;
lifting_insurance;Hijsverzekering;"Lifting insurance";;;;;0;;;;;other;0;0;;;;;;;;;;0;16;Category;pim_catalog_boolean;0;0;;;
value_of_freight;"Waarde last";"Value of freight";;;;;0;;;0;TON;other;0;0;;;Weight;;;0;;;;0;17;Category;pim_catalog_metric;0;0;;;
height_obstacles;Hoogtehindernissen;"Height obstacles";;;;;0;;;;;work;0;0;;;;;;;;;;0;10;Category;pim_catalog_boolean;0;0;;;
digging_reach;"Minimaal graafbereik";"Digging reach";;;;;0;;;0;METER;specifications;0;0;;;Length;;;0;;;;0;8;Category;pim_catalog_metric;0;0;;;
studs;Noppen;Studs;;;;;0;;;;;options;0;0;;;;;;;;;;0;24;Product,Category;pim_catalog_boolean;0;1;;;
working_height;Werkhoogte;"Working height";;;;;0;;;0;METER;work;0;0;;;Length;;;0;;;;0;11;Category;pim_catalog_metric;0;0;;;
max_width;"Maximale breedte";"Max width";;;;;0;;;0;METER;specifications;0;0;;;Length;;;0;;;;0;9;Category;pim_catalog_metric;0;0;;;
